customer_id,tenure_months,monthly_charge,support_calls_3m,late_payments_6m,satisfaction_score,weekly_usage_hours,auto_pay,churn
CUST-0001,37,41.94,2,0,4,33.8,0,0
CUST-0002,49,57.38,2,1,3,21.1,0,0
CUST-0003,33,55.63,3,1,4,15.7,1,0
CUST-0004,30,79.63,2,1,3,17.9,1,1
CUST-0005,54,69.35,0,1,5,30.8,1,0
CUST-0006,31,33.05,2,2,5,27.4,0,0
CUST-0007,41,74.28,2,0,3,26.5,0,0
CUST-0008,39,54.6,4,2,1,19.9,0,1
CUST-0009,53,87.94,1,0,3,26.6,0,0
CUST-0010,26,53.7,3,2,5,16.9,0,0
CUST-0011,65,53.54,3,2,4,19.9,0,1
CUST-0012,21,74.74,1,1,4,29.8,1,1
CUST-0013,43,78.73,2,0,5,29.0,0,0
CUST-0014,40,73.07,2,0,4,14.1,1,0
CUST-0015,20,34.66,1,1,5,15.2,1,0
CUST-0016,45,74.68,0,0,4,22.9,1,0
CUST-0017,27,46.38,1,1,5,35.8,0,0
CUST-0018,15,69.23,2,3,4,6.7,1,0
CUST-0019,49,39.37,2,0,4,24.2,1,0
CUST-0020,11,73.03,4,1,3,11.0,1,1
CUST-0021,18,50.48,2,0,3,16.9,1,0
CUST-0022,32,41.91,4,0,5,19.1,1,0
CUST-0023,53,77.85,2,0,4,18.6,0,0
CUST-0024,47,69.35,1,1,4,17.7,0,1
CUST-0025,37,53.95,2,0,4,22.1,1,1
CUST-0026,8,91.12,1,2,3,17.7,1,1
CUST-0027,21,57.07,1,1,4,10.3,1,0
CUST-0028,24,65.58,3,2,5,28.2,1,0
CUST-0029,15,69.84,3,5,4,28.0,1,1
CUST-0030,6,53.85,2,3,2,28.7,0,1
CUST-0031,34,73.48,2,1,3,9.7,0,0
CUST-0032,48,55.4,5,1,5,24.4,1,0
CUST-0033,23,57.59,2,2,3,27.4,1,0
CUST-0034,53,89.53,4,1,2,13.8,1,1
CUST-0035,10,46.27,3,2,5,22.1,1,0
CUST-0036,14,21.57,2,0,4,21.1,0,0
CUST-0037,33,94.0,0,0,3,36.7,0,0
CUST-0038,21,110.89,3,3,3,37.4,0,1
CUST-0039,46,57.71,1,2,5,8.7,0,0
CUST-0040,41,30.14,3,0,3,42.0,0,0
CUST-0041,23,59.41,1,2,5,14.7,0,0
CUST-0042,11,59.85,1,2,4,29.8,1,0
CUST-0043,21,61.58,3,0,4,29.8,1,0
CUST-0044,42,44.96,3,1,4,14.0,1,0
CUST-0045,47,75.43,3,0,3,25.9,1,0
CUST-0046,22,74.44,1,2,5,21.1,1,0
CUST-0047,6,38.1,3,1,3,26.4,1,0
CUST-0048,9,77.59,4,2,2,23.8,0,1
CUST-0049,39,101.95,2,2,4,31.6,0,0
CUST-0050,22,68.1,8,2,4,22.6,0,1
CUST-0051,23,58.93,2,0,4,20.7,1,0
CUST-0052,14,62.44,2,1,4,30.8,0,0
CUST-0053,14,76.07,3,0,3,26.6,1,1
CUST-0054,52,33.85,0,0,4,27.9,1,0
CUST-0055,40,67.96,3,1,3,16.7,1,0
CUST-0056,19,57.97,1,1,3,13.6,1,1
CUST-0057,31,98.26,2,0,3,17.5,1,0
CUST-0058,35,61.86,1,1,5,17.0,0,0
CUST-0059,72,95.02,3,1,2,28.3,0,1
CUST-0060,13,45.13,1,0,4,29.8,0,0
CUST-0061,35,75.57,3,0,2,20.8,1,1
CUST-0062,52,70.75,2,1,3,33.4,0,0
CUST-0063,72,49.36,6,2,3,32.9,0,0
CUST-0064,18,68.19,0,1,1,23.9,1,1
CUST-0065,22,86.83,3,1,4,15.4,0,1
CUST-0066,46,59.17,1,1,3,34.6,1,0
CUST-0067,8,34.54,5,2,1,21.5,1,1
CUST-0068,37,64.68,3,2,4,23.0,1,1
CUST-0069,72,48.76,3,4,5,19.3,1,0
CUST-0070,40,58.84,1,1,5,14.9,1,0
CUST-0071,3,63.53,0,0,4,10.3,1,0
CUST-0072,15,34.3,0,2,4,27.1,1,0
CUST-0073,18,35.92,0,2,5,15.7,0,0
CUST-0074,60,73.68,2,2,5,46.5,1,0
CUST-0075,27,55.59,2,0,5,13.3,1,0
CUST-0076,6,20.0,2,0,3,11.9,1,0
CUST-0077,29,79.13,2,1,4,26.1,0,1
CUST-0078,33,69.9,2,1,4,34.2,1,0
CUST-0079,20,52.15,4,2,2,22.5,0,1
CUST-0080,13,41.3,1,1,4,26.6,1,0
CUST-0081,72,80.04,1,2,5,7.3,1,0
CUST-0082,52,71.29,0,0,4,16.6,1,0
CUST-0083,55,107.89,1,2,5,13.4,1,1
CUST-0084,27,72.56,3,1,4,6.8,0,1
CUST-0085,18,71.98,3,1,3,22.9,0,0
CUST-0086,21,62.0,3,1,4,4.1,1,0
CUST-0087,10,79.7,3,1,3,11.4,0,1
CUST-0088,72,76.25,3,1,3,17.7,1,0
CUST-0089,27,87.53,0,1,5,15.3,1,0
CUST-0090,68,55.62,2,2,5,25.2,1,0
CUST-0091,22,57.16,4,2,3,24.4,1,0
CUST-0092,40,56.38,2,2,4,29.2,0,0
CUST-0093,34,79.23,2,1,3,28.0,1,0
CUST-0094,9,91.97,0,0,4,31.1,1,0
CUST-0095,72,56.74,3,1,4,22.0,1,0
CUST-0096,22,57.35,4,4,4,24.4,1,0
CUST-0097,12,70.65,2,2,4,26.1,1,1
CUST-0098,46,60.58,2,1,5,23.1,0,0
CUST-0099,30,82.14,1,0,4,18.8,1,0
CUST-0100,38,24.47,1,1,4,19.3,1,0
CUST-0101,32,50.12,2,1,3,15.5,1,0
CUST-0102,4,50.92,0,0,5,25.4,1,0
CUST-0103,15,23.23,1,0,4,21.2,1,0
CUST-0104,14,47.65,3,0,4,16.7,0,0
CUST-0105,55,48.53,0,0,2,16.7,0,0
CUST-0106,31,61.38,0,0,3,12.3,1,0
CUST-0107,42,85.03,1,0,5,29.8,0,0
CUST-0108,23,60.59,1,0,4,22.6,0,0
CUST-0109,43,46.45,4,1,2,15.1,0,0
CUST-0110,27,63.97,3,1,5,28.5,0,0
CUST-0111,25,83.89,3,0,3,17.5,0,1
CUST-0112,34,47.43,3,0,5,10.7,0,0
CUST-0113,32,48.61,1,0,3,30.2,1,0
CUST-0114,72,75.05,1,4,4,17.7,1,0
CUST-0115,15,61.01,0,1,5,18.7,1,0
CUST-0116,8,76.65,3,3,3,22.3,1,1
