CustomerID,Age,Annual_Income_k,Spending_Score
96,36,48,49
16,23,30,66
31,23,27,63
159,29,73,100
129,30,91,78
116,44,55,40
70,47,80,25
171,55,35,18
175,66,25,25
46,58,99,12
67,38,100,21
183,45,34,23
166,45,16,15
79,38,96,15
187,51,35,14
178,54,27,24
57,40,95,14
153,23,87,70
83,44,71,42
69,48,87,14
125,33,85,72
17,21,21,80
149,35,101,78
94,48,63,43
66,50,102,29
61,46,101,39
85,30,76,40
68,37,94,11
126,28,96,87
133,37,75,74
10,27,16,82
19,21,27,78
56,54,103,26
76,41,99,25
151,26,78,80
105,38,55,45
136,26,83,76
138,31,91,74
165,50,24,28
77,56,86,4
80,49,84,27
198,48,27,10
39,20,25,87
25,23,29,77
123,29,90,65
196,60,27,14
30,24,22,77
20,19,30,76
144,27,100,84
87,36,53,62
115,32,68,50
174,49,20,16
6,24,21,74
127,31,79,85
118,35,52,47
74,46,83,15
141,26,111,98
99,44,63,54
173,56,29,21
97,50,64,42
170,61,23,15
98,34,58,47
32,32,33,78
13,26,22,72
36,20,29,80
120,37,54,42
43,53,107,29
190,49,25,11
91,30,53,50
137,34,106,81
52,45,87,29
128,30,89,74
163,44,25,25
42,40,103,24
119,41,58,53
114,40,63,48
27,20,25,93
140,26,91,72
101,33,47,42
112,29,66,65
3,28,24,90
78,48,97,21
47,39,103,24
188,49,28,11
192,55,29,14
86,37,35,38
162,48,34,35
37,26,25,78
191,57,31,19
62,53,86,5
23,25,19,75
142,27,108,82
102,40,49,52
34,21,33,98
12,23,23,86
195,51,33,26
160,36,89,91
7,31,23,85
28,27,30,79
121,33,74,85
5,24,18,72
33,25,25,78
143,19,88,76
146,31,104,80
110,41,53,48
145,26,96,81
11,23,27,79
63,35,84,25
113,49,63,59
147,32,80,87
167,50,17,2
1,27,29,76
199,56,33,14
154,39,97,93
71,47,91,14
124,32,90,81
65,47,93,16
45,49,105,9
164,56,35,15
29,23,27,80
41,50,85,23
109,36,60,43
156,28,91,80
157,21,106,87
26,25,32,81
24,19,19,72
185,50,15,19
148,39,97,88
82,39,62,56
40,26,15,84
169,67,32,3
48,42,114,24
95,28,59,60
155,36,105,95
44,37,87,28
139,41,102,78
4,31,23,74
106,30,56,52
54,48,98,25
134,35,103,86
181,61,37,21
179,49,38,6
186,52,24,20
50,42,87,51
81,34,56,51
35,28,15,76
8,28,30,81
111,52,53,53
92,47,50,41
84,47,43,71
177,48,23,20
182,68,21,15
90,43,49,56
9,23,27,74
14,18,28,75
60,38,122,21
172,65,17,31
132,32,79,90
18,26,23,80
73,41,97,20
176,59,30,1
135,41,93,78
168,47,30,10
184,59,42,36
64,46,100,7
55,39,98,17
108,29,49,36
51,36,86,25
197,59,26,16
59,50,92,16
49,46,93,24
89,54,58,56
22,24,24,75
58,43,110,18
161,54,17,20
193,53,39,22
130,26,95,74
38,18,24,69
158,37,76,84
194,49,32,21
2,24,26,81
53,39,94,28
150,27,72,77
131,30,97,81
152,32,70,64
104,32,61,45
100,46,61,44
117,42,62,50
88,35,61,58
75,47,97,37
122,38,84,82
200,60,27,21
21,31,23,67
189,55,33,25
72,47,104,22
107,53,68,36
15,18,30,75
93,57,49,51
180,45,25,27
103,18,62,52
